chapter,chapter_topic,rule_number,rule_title,effective_date
"65G-1","APD general provisions","65G-1.010","Definitions","2007-09-19"
"65G-1","APD general provisions","65G-1.046","Crisis Determination Procedure (Transferred)","2007-09-19"
"65G-1","APD general provisions","65G-1.047","Crisis Status Criteria","2007-09-19"
"65G-10","Appeals and hearings","65G-10.001","Definitions","2021-07-01"
"65G-10","Appeals and hearings","65G-10.004","Support Coordinator Basic Pre-Service Level 1 Training and In-Person Level 2 Training","2021-07-01"
"65G-10","Appeals and hearings","65G-10.005","Support Coordinator In-Service Training","2021-07-01"
"65G-13","Provider qualifications","65G-13.001","Definitions","2023-08-17"
"65G-13","Provider qualifications","65G-13.002","Individual and Family Supports (IFS) Procedure","2022-12-25"
"65G-13","Provider qualifications","65G-13.003","Individual and Family Supports Criteria","2022-12-25"
"65G-13","Provider qualifications","65G-13.004","In-Home Subsidy Procedure","2022-12-25"
"65G-13","Provider qualifications","65G-13.005","In-Home Subsidy Criteria","2022-12-25"
"65G-13","Provider qualifications","65G-13.006","In-Home Subsidy Restrictions","2022-12-25"
"65G-13","Provider qualifications","65G-13.007","In-Home Subsidy Review","2022-12-25"
"65G-13","Provider qualifications","65G-13.008","Room and Board Payments","2023-08-17"
"65G-2","Licensing and staffing of residential facilities","65G-2.001","Definitions","2025-02-27"
"65G-2","Licensing and staffing of residential facilities","65G-2.002","License Application and Renewal Procedures","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0021","Change of Ownership","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.003","Length of Licenses","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0031","Other Licenses (Repealed)","2016-01-19"
"65G-2","Licensing and staffing of residential facilities","65G-2.0032","Agency Monitoring and Oversight","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.004","License Violations - Non-Disciplinary Actions","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0041","License Violations - Disciplinary Actions","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.005","License Denial, Suspension or Revocation","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.006","Licensed Residential Facility Capacity","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.007","General Residential Facility Standards","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0071","Foster Care Facility Standards","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0072","Group Home Facility Standards","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0073","Residential Habilitation Center Standards","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.0074","Adult Day Training Program Standards","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.008","Staffing Requirements for Residential Facilities","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.009","Resident Care and Supervision Standards","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.010","Fire and Emergency Procedures","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.011","Foster Care Facility Standards (Transferred)","2014-07-01"
"65G-2","Licensing and staffing of residential facilities","65G-2.012","Group Home Facility Standards (Transferred)","2014-07-01"
"65G-2","Licensing and staffing of residential facilities","65G-2.013","Residential Habilitation Center Standards (Transferred)","2014-07-01"
"65G-2","Licensing and staffing of residential facilities","65G-2.014","Comprehensive Transitional Education Program Standards (Repealed)","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.015","Siting","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.017","Health Safety Standards for Licensed Facilities (Repealed)","2026-03-26"
"65G-2","Licensing and staffing of residential facilities","65G-2.018","Personal Needs Allowance","2023-08-17"
"65G-4","iBudget, support plans and eligibility","65G-4.001","Definitions for Behavior Services: Practice and Procedure","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.0011","Recognized Certification Organizations for Behavior Analysts","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.002","Service Delivery","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.0021","Tier Waivers (Repealed)","2010-11-21"
"65G-4","iBudget, support plans and eligibility","65G-4.0022","Tier One Waiver (Repealed)","2010-11-21"
"65G-4","iBudget, support plans and eligibility","65G-4.0023","Tier Two Waiver (Repealed)","2010-11-21"
"65G-4","iBudget, support plans and eligibility","65G-4.0024","Tier Three Waiver (Repealed)","2010-11-21"
"65G-4","iBudget, support plans and eligibility","65G-4.0025","Tier Four Waiver (Repealed)","2010-11-21"
"65G-4","iBudget, support plans and eligibility","65G-4.0026","Tier Waivers (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.0027","Tier One Waiver (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.0028","Tier Two Waiver (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.0029","Tier Three Waiver (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.00291","Tier Four Waiver (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.003","Certification as a Behavior Analyst","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.004","Certification as an Associate Behavior Analyst","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.005","Renewal of Behavior Analysis Certification","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.006","Approved Continuing Education","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.007","Behavior Analysis Certification Fees","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.008","Behavior Analysis Services Oversight System Organization","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.009","Design, Implementation and Monitoring of Behavior Analysis Services","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.010","Behavior Analysis Services Approval","2012-04-04"
"65G-4","iBudget, support plans and eligibility","65G-4.011","Determination of Intellectual Disability in Capital Felony Cases: Intelligence; Tests to be Administered","2004-01-13"
"65G-4","iBudget, support plans and eligibility","65G-4.012","Determination of Intellectual Disability: Intelligence Tests to Be Administered","2006-06-13"
"65G-4","iBudget, support plans and eligibility","65G-4.014","Eligibility for Agency Services - Definitions","2026-08-30"
"65G-4","iBudget, support plans and eligibility","65G-4.015","Eligibility for Agency Services Criteria","2026-08-30"
"65G-4","iBudget, support plans and eligibility","65G-4.016","Application Process","2026-08-30"
"65G-4","iBudget, support plans and eligibility","65G-4.017","Establishing Eligibility","2026-08-30"
"65G-4","iBudget, support plans and eligibility","65G-4.0210","Definitions (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.0211","General Provisions (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.0212","Establishing the Final iBudget Allocation Amount (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.0213","Definitions","2023-01-03"
"65G-4","iBudget, support plans and eligibility","65G-4.0214","Allocation Algorithm","2021-07-01"
"65G-4","iBudget, support plans and eligibility","65G-4.0215","General Provisions","2023-01-03"
"65G-4","iBudget, support plans and eligibility","65G-4.0216","Establishment of the iBudget Amount","2021-07-01"
"65G-4","iBudget, support plans and eligibility","65G-4.0217","iBudget Cost Plan","2021-07-01"
"65G-4","iBudget, support plans and eligibility","65G-4.0218","Significant Additional Need Funding","2021-07-01"
"65G-4","iBudget, support plans and eligibility","65G-4.022","iBudget Cost Plan Development and Approval (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.024","Cost Plan Changes (Repealed)","2016-01-19"
"65G-4","iBudget, support plans and eligibility","65G-4.027","Cost Plan Funding and Review (Repealed)","2016-01-19"
"65G-7","Medication administration","65G-7.001","Definitions","2026-03-26"
"65G-7","Medication administration","65G-7.002","Authorization for Medication Administration and Informed Consent Requirement","2026-03-26"
"65G-7","Medication administration","65G-7.0025","Self-Administration of Medication Without Supervision","2019-07-01"
"65G-7","Medication administration","65G-7.003","Medication Administration Trainer Requirements","2026-03-26"
"65G-7","Medication administration","65G-7.0033","Medication Administration Training Course Curriculum Requirements","2026-03-26"
"65G-7","Medication administration","65G-7.0035","Validation Trainer Requirements","2026-03-26"
"65G-7","Medication administration","65G-7.004","Medication Assistance Provider Training and Validation Requirements","2026-03-26"
"65G-7","Medication administration","65G-7.005","Medication Administration Procedures","2026-03-26"
"65G-7","Medication administration","65G-7.006","Medication Errors","2019-07-01"
"65G-7","Medication administration","65G-7.007","Storage Requirements","2019-07-01"
"65G-7","Medication administration","65G-7.008","Documentation and Record Keeping","2026-03-26"
"65G-7","Medication administration","65G-7.009","Off-site Medication Administration","2019-07-01"
"65G-8","Reactive strategies","65G-8.001","Definitions","2008-08-07"
"65G-8","Reactive strategies","65G-8.002","Approved Emergency Procedure Curriculum","2008-08-07"
"65G-8","Reactive strategies","65G-8.003","Reactive Strategy Policy and Procedures","2008-08-07"
"65G-8","Reactive strategies","65G-8.004","Initial Assessments","2008-08-07"
"65G-8","Reactive strategies","65G-8.005","Authorizations for Specific Reactive Strategies","2008-08-07"
"65G-8","Reactive strategies","65G-8.006","Limitations on Use and Duration of Reactive Strategies","2008-08-07"
"65G-8","Reactive strategies","65G-8.007","Seclusion and Restraint","2008-08-07"
"65G-8","Reactive strategies","65G-8.008","Chemical Restraint","2008-08-07"
"65G-8","Reactive strategies","65G-8.009","Prohibited Procedures","2008-08-07"
"65G-8","Reactive strategies","65G-8.010","Documentation and Notification","2008-08-07"
"65G-8","Reactive strategies","65G-8.011","Access to Rules","2008-08-07"
"65G-8","Reactive strategies","65G-8.012","Enforcement","2008-08-07"
